Anger_NRC,Anticipation_NRC,Disgust_NRC,Fear_NRC,Joy_NRC,Negative_NRC,Positive_NRC,Sadness_NRC,Surprise_NRC,Trust_NRC
expletive,unfulfilled,smut,smut,tantalizing,smut,greeting,measles,greeting,proven
inept,tantalizing,measles,measles,felicity,expletive,tantalizing,inconsequential,unfulfilled,privy
unfulfilled,wait,inept,lynch,lovable,measles,inventor,unfulfilled,tantalizing,pawn
lynch,haste,perverted,militia,unbeaten,inept,felicity,lynch,trump,lovable
agitation,unbeaten,lynch,servile,superstar,perverted,civility,gray,unbeaten,merchant
wrongdoing,opera,gray,diseased,opera,inconsequential,artistic,wrongdoing,opera,warden
satanic,share,wrongdoing,warden,share,unfulfilled,lovable,militia,hopeful,superstar
militia,hopeful,gruesome,opera,hopeful,tantalizing,restful,servile,death,tutelage
bellows,death,servile,death,excitation,lynch,unbeaten,diseased,excitation,oath
warden,excitation,diseased,enigmatic,enchanting,constrained,superstar,unbeaten,frenetic,advise
complicate,enchanting,death,excitation,soundness,agitation,tutelage,misrepresentation,rupture,opera
opera,soundness,shoplifting,frenetic,twinkle,hash,fair,opera,devastation,share
death,twinkle,unlawful,dependence,bridegroom,privy,oath,death,explode,hopeful
shoplifting,bridegroom,lament,unlawful,rhythmical,wrongdoing,naturalist,dependence,rhythmical,proof
excitation,immediately,miserable,lament,surprise,satanic,advise,unlawful,surprise,soundness
frenetic,victory,ashamed,stifled,victory,militia,opera,lament,differently,employ
unlawful,triumph,reproach,behemoth,frolic,estranged,cool,stifled,unstable,truck
stifled,heft,politic,penalty,triumph,metastasis,share,miserable,wildfire,show
miserable,deal,misguided,obliterated,deal,wait,option,penalty,deal,disclosed
penalty,seductive,offender,rupture,angelic,gruesome,purist,splitting,gasp,obedience
obliterated,secular,obi,thumping,commendable,pawn,hopeful,ashamed,fainting,bridegroom
reproach,gambling,dissection,offender,teach,embezzlement,satisfactorily,reproach,gambling,advisable
grated,white,mite,devastation,strengthening,servile,excitation,rupture,teach,attendant
offender,saint,thoughtless,obi,affluence,diseased,enchanting,sympathize,unintentional,sappy
devastation,betrothed,unwashed,explode,white,warden,soundness,offender,saint,victory
wring,duel,fleece,spook,fidelity,unbeaten,eminently,devastation,trepidation,exchange
dissension,trepidation,subvert,sting,saint,complicate,intrepid,explode,outrageous,veteran
condemn,visitor,laxative,surprise,betrothed,tragic,outcome,posthumous,banger,recline
explode,perfect,segregate,subvert,visitor,misrepresentation,striking,urn,illusion,virtue
thoughtless,banger,debauchery,brigade,doll,death,politic,fleece,erotic,registry
sting,birth,subsidy,vengeful,perfect,shoplifting,twinkle,subvert,tree,deal
fleece,punt,wart,ghost,birth,inadequacy,temperance,danger,premature,gospel
vengeful,erotic,abomination,danger,hedonism,headache,verve,wildfire,dismay,angelic
segregate,anxious,revolting,laxative,spouse,enigmatic,procure,segregate,defy,personal
subsidy,eventual,ooze,heft,erotic,frenetic,obedience,disheartening,overdue,commendable
abomination,brilliant,adultery,unstable,brilliant,dependence,bridegroom,fainting,inexplicable,banker
revolting,tree,nappy,wildfire,tree,unlawful,satin,adultery,ecstatic,chairman
exaggerate,dismay,hellish,debauchery,loving,lament,immediately,hellish,reversal,teach
hellish,nascent,delay,hesitation,hug,stifled,reformer,delay,blast,chronicle
disrespect,recombination,delinquent,fainting,ecstatic,miserable,acceptance,pious,luck,pious
delay,draft,pious,abomination,symphony,behemoth,advisable,resigned,advance,strengthening
delinquent,overdue,disgusting,revolting,luck,penalty,attendant,atrophy,bloodshed,leader
crusade,plan,burglar,suspension,beach,splitting,intercourse,antisocial,surprised,white
disgusting,endanger,atrophy,hellish,thriving,ashamed,supply,oppression,succeed,fidelity
disobedient,ecstatic,antisocial,delay,inseparable,obliterated,rhythmical,grumpy,shopping,saint
duel,immature,oppression,crusade,virtuous,reproach,surprise,obliterate,shatter,culinary
annihilate,symphony,unworthy,missile,advance,rupture,immortal,debacle,quicksilver,betrothed
antisocial,untold,shameless,disgusting,benign,grated,unscathed,autopsy,fortune,alb
oppression,luck,grumpy,duel,lovemaking,misguided,knowledge,inequality,mysterious,benefactor
banger,strive,autopsy,trepidation,joyful,lack,victory,unfavorable,manslaughter,dermatologist
grumpy,thriving,unfavorable,captor,succeed,offender,frolic,inefficiency,godsend,religion
obliterate,advance,inefficiency,burglar,shopping,devastation,exchange,dumps,splendid,gentleman
inequality,opponent,tetanus,annihilate,forefathers,obi,veteran,woe,independence,protected
dumps,neighbor,woe,atrophy,hire,dissension,triumph,dismay,rapid,cabinet
tree,sharpen,theism,antisocial,fulfillment,immediately,heft,mortality,concealed,perfect
dismay,torture,tree,oppression,providing,condemn,recline,undesired,confession,coexisting
mortality,dare,discriminating,banger,fortune,begging,housekeeping,defy,trophy,birth
defy,succeed,disease,birth,reverie,mite,virtue,faithless,birthday,spouse
disease,predispose,bad,obliterate,affection,explode,finesse,disease,assessment,erotic
harassing,continuation,gall,debacle,prosperous,thoughtless,deal,bad,clown,brilliant
accused,shopping,horrible,autopsy,godsend,archaic,gospel,ashes,jest,tree
bad,nervous,unfair,inequality,jump,unwashed,angelic,frightful,medal,govern
skirmish,uphill,coercion,anxious,splendid,posthumous,lordship,unfair,conjure,backbone
gall,preparatory,bleeding,superstition,pride,spook,commendable,tolerate,goodness,loving
combatant,hire,distorted,reticent,independence,sting,sentimental,coercion,occasional,auditor
hot,fulfillment,misconception,woe,beautiful,excess,chairman,bleeding,joker,hug
horrible,towering,secrete,dismay,conciliation,fleece,complacency,late,compliment,parliament
frightful,punctual,distasteful,mortality,endless,subvert,teach,overdue,accidentally,tandem
unfair,providing,cystic,defy,zest,slough,chronicle,flaw,money,defended
tolerate,fortune,groan,disease,savor,brigade,job,scarce,pleasant,devastating
coercion,mysterious,criminal,accused,purify,vengeful,pious,groan,kidnap,protecting
backbone,prophetic,devastating,bad,heartily,danger,strengthening,devastating,preservative,clan
adversary,surround,unclean,combatant,celebrated,confiscation,leader,refugee,epidemic,preponderance
misconception,medical,blatant,horrible,jovial,travail,affluence,burdensome,interrupt,affirm
thump,theory,sick,frightful,trophy,heavily,white,sick,yelp,routine
